日付,価格
1986-02-11,187.45
1986-02-12,186.72
1986-02-13,182.64
1986-02-14,182.0
1986-02-17,179.99
1986-02-18,181.05
1986-02-19,177.48
1986-02-20,181.1
1986-02-21,182.98
1986-02-24,182.15
1986-02-25,180.95
1986-02-26,181.15
1986-02-27,180.15
1986-02-28,180.55
1986-03-03,179.65
1986-03-04,179.0
1986-03-05,180.48
1986-03-06,179.3
1986-03-07,179.45
1986-03-10,180.7
1986-03-11,179.9
1986-03-12,180.39
1986-03-13,179.5
1986-03-14,176.67
1986-03-17,175.59
1986-03-18,175.19
1986-03-19,177.07
1986-03-20,176.13
1986-03-21,175.86
1986-03-24,178.73
1986-03-25,180.03
1986-03-26,179.63
1986-03-27,179.54
1986-03-28,168.4
1986-03-31,170.52
1986-04-01,177.75
1986-04-02,179.22
1986-04-03,179.4
1986-04-04,180.21
1986-04-07,182.9
1986-04-08,179.99
1986-04-09,179.9
1986-04-10,179.14
1986-04-11,178.1
1986-04-14,179.09
1986-04-15,178.46
1986-04-16,176.58
1986-04-17,175.59
1986-04-18,174.16
1986-04-21,171.96
1986-04-22,169.72
1986-04-23,168.01
1986-04-24,168.64
1986-04-25,168.51
1986-04-28,167.03
1986-04-29,167.54
1986-04-30,167.54
1986-05-01,169.44
1986-05-02,169.32
1986-05-05,165.23
1986-05-06,166.34
1986-05-07,165.29
1986-05-08,163.47
1986-05-09,162.19
1986-05-12,161.05
1986-05-13,163.27
1986-05-14,163.24
1986-05-15,163.47
1986-05-16,165.29
1986-05-19,167.83
1986-05-20,168.39
1986-05-21,168.62
1986-05-22,169.29
1986-05-23,169.49
1986-05-26,169.58
1986-05-27,169.17
1986-05-28,168.97
1986-05-29,170.99
1986-05-30,174.17
1986-06-02,178.57
1986-06-03,171.69
1986-06-04,171.34
1986-06-05,169.09
1986-06-06,167.27
1986-06-09,167.71
1986-06-10,166.57
1986-06-11,166.05
1986-06-12,165.84
1986-06-13,165.23
1986-06-16,165.49
1986-06-17,167.42
1986-06-18,167.77
1986-06-19,166.83
1986-06-20,167.48
1986-06-23,168.09
1986-06-24,166.89
1986-06-25,165.7
1986-06-26,165.99
1986-06-27,165.37
1986-06-30,163.47
1986-07-01,162.63
1986-07-02,163.04
1986-07-03,161.37
1986-07-04,160.49
1986-07-07,160.58
1986-07-08,160.7
1986-07-09,160.99
1986-07-10,160.17
1986-07-11,161.28
1986-07-14,160.29
1986-07-15,159.32
1986-07-16,158.45
1986-07-17,157.19
1986-07-18,156.34
1986-07-21,154.94
1986-07-22,156.28
1986-07-23,157.48
1986-07-24,156.63
1986-07-25,158.18
1986-07-28,156.28
1986-07-29,155.52
1986-07-30,155.7
1986-07-31,153.8
1986-08-01,153.89
1986-08-04,155.0
1986-08-05,153.84
1986-08-06,154.24
1986-08-07,153.68
1986-08-08,153.97
1986-08-11,153.62
1986-08-12,154.65
1986-08-13,154.18
1986-08-14,153.68
1986-08-15,153.83
1986-08-18,153.97
1986-08-19,153.33
1986-08-20,153.27
1986-08-21,153.18
1986-08-22,153.27
1986-08-25,153.68
1986-08-26,154.79
1986-08-27,154.65
1986-08-28,155.93
1986-08-29,154.47
1986-09-01,153.59
1986-09-02,154.23
1986-09-03,154.49
1986-09-04,154.89
1986-09-05,155.09
1986-09-08,155.95
1986-09-09,155.65
1986-09-10,154.6
1986-09-11,156.19
1986-09-12,155.35
1986-09-15,154.85
1986-09-16,156.16
1986-09-17,154.65
1986-09-18,153.3
1986-09-19,152.06
1986-09-22,153.3
1986-09-23,154.28
1986-09-24,154.35
1986-09-25,154.45
1986-09-26,154.01
1986-09-29,153.5
1986-09-30,154.01
1986-10-01,154.11
1986-10-02,153.57
1986-10-03,153.6
1986-10-06,153.87
1986-10-07,153.87
1986-10-08,154.01
1986-10-09,154.65
1986-10-10,154.11
1986-10-13,154.01
1986-10-14,153.74
1986-10-15,153.91
1986-10-16,153.91
1986-10-17,154.01
1986-10-20,154.51
1986-10-21,154.95
1986-10-22,155.39
1986-10-23,157.88
1986-10-24,161.0
1986-10-27,160.3
1986-10-28,159.66
1986-10-29,160.2
1986-10-30,161.58
1986-10-31,163.29
1986-11-03,163.7
1986-11-04,163.66
1986-11-05,164.33
1986-11-06,163.06
1986-11-07,162.82
1986-11-10,162.42
1986-11-11,161.81
1986-11-12,160.43
1986-11-13,160.84
1986-11-14,161.44
1986-11-17,162.69
1986-11-18,162.42
1986-11-19,162.11
1986-11-20,162.38
