日付,価格
1985-03-29,916.93
1985-06-28,916.93
1985-09-30,1058.35
1985-12-31,1049.4
1986-03-31,1049.13
1986-06-30,1025.85
1986-09-30,1583.35
1986-12-31,1556.37
1987-03-31,1575.31
1987-06-30,1557.46
1987-09-30,2258.56
1987-12-31,1725.83
1988-03-31,1690.44
1988-06-30,1690.44
1988-09-30,2357.03
1988-12-30,2357.03
1989-03-31,2375.3
1989-06-30,2364.33
1989-09-29,2884.8
1989-12-29,2881.37
1990-03-30,2867.7
1990-06-29,2867.7
1990-09-28,1523.43
1990-12-31,1733.83
1991-03-29,1740.92
1991-06-28,2028.85
1991-09-30,1638.06
1991-12-31,1714.68
1992-03-31,1763.43
1992-06-30,1763.43
1992-09-30,1102.5
1992-12-31,1307.66
1993-03-31,1305.81
1993-06-30,1250.06
1993-09-30,1698.67
1993-12-31,1439.31
1994-03-31,1445.97
1994-06-30,1445.97
1994-09-30,1712.73
1994-12-30,1559.09
1995-03-31,1553.4
1995-06-30,1193.16
1995-09-29,1585.87
1995-12-29,1577.7
1996-03-29,1631.06
1996-06-28,1722.13
1996-09-30,1448.45
1996-12-31,1470.94
1997-03-31,1480.86
1997-06-30,1560.28
1997-09-30,1130.0
1997-12-31,1175.03
1998-03-31,1166.63
1998-06-30,1300.3
1998-09-30,980.11
1998-12-31,1086.99
1999-03-31,1064.92
1999-06-30,1048.33
1999-09-30,1722.2
1999-12-31,1722.2
2000-03-31,1717.47
2000-06-30,1754.78
2000-09-29,1255.16
2000-12-29,1283.67
2001-03-30,1280.94
2001-06-29,1440.97
2001-09-28,988.98
2001-12-31,1032.14
2002-03-29,1053.96
2002-06-28,1139.43
2002-09-30,815.74
2002-12-31,843.29
2003-03-31,860.07
2003-06-30,770.62
2003-09-30,1105.59
2003-12-31,1043.69
2004-03-31,1177.4650000000001
2004-04-01,1178.53
2004-04-02,1181.275
2004-04-05,1197.52
2004-04-06,1207.825
2004-04-07,1204.07
2004-04-08,1206.765
2004-04-09,1195.6399999999999
2004-04-12,1200.495
2004-04-13,1216.21
2004-04-14,1215.585
2004-04-15,1208.19
2004-04-16,1196.3899999999999
2004-04-19,1190.405
2004-04-20,1196.54
2004-04-21,1203.5549999999998
2004-04-22,1208.8400000000001
2004-04-23,1209.415
2004-04-26,1211.13
2004-04-27,1206.16
2004-04-28,1207.6399999999999
2004-04-30,1190.165
2004-05-06,1177.44
2004-05-07,1154.7600000000002
2004-05-10,1114.6100000000001
2004-05-11,1085.545
2004-05-12,1111.97
2004-05-13,1106.85
2004-05-14,1095.275
2004-05-17,1069.9299999999998
2004-05-18,1066.68
2004-05-19,1095.1100000000001
2004-05-20,1105.98
2004-05-21,1116.775
2004-05-24,1129.835
2004-05-25,1122.0900000000001
2004-05-26,1127.3049999999998
2004-05-27,1127.75
2004-05-28,1138.375
2004-05-31,1140.115
2004-06-01,1140.57
2004-06-02,1139.36
2004-06-03,1129.4299999999998
2004-06-04,1122.94
2004-06-07,1141.91
2004-06-08,1159.27
2004-06-09,1155.385
2004-06-10,1154.945
2004-06-11,1161.13
2004-06-14,1158.915
2004-06-15,1153.98
2004-06-16,1163.62
2004-06-17,1167.73
2004-06-18,1157.3200000000002
2004-06-21,1161.9299999999998
2004-06-22,1162.165
2004-06-23,1160.92
2004-06-24,1165.99
2004-06-25,1170.7649999999999
2004-06-28,1181.07
2004-06-29,1184.595
2004-06-30,1188.65
2004-07-01,1191.575
2004-07-02,1176.1
2004-07-05,1161.4499999999998
2004-07-06,1153.005
2004-07-07,1139.865
2004-07-08,1137.115
2004-07-09,1140.8400000000001
2004-07-12,1158.565
2004-07-13,1163.2350000000001
2004-07-14,1161.97
2004-07-15,1152.69
2004-07-16,1148.045
2004-07-20,1141.185
2004-07-21,1150.245
2004-07-22,1143.55
2004-07-23,1139.145
2004-07-26,1127.87
2004-07-27,1120.085
2004-07-28,1127.005
2004-07-29,1125.1599999999999
2004-07-30,1135.025
2004-08-02,1136.6100000000001
2004-08-03,1131.195
2004-08-04,1118.0
2004-08-05,1116.94
2004-08-06,1106.495
2004-08-09,1097.5
2004-08-10,1100.3400000000001
2004-08-11,1118.1149999999998
2004-08-12,1116.915
2004-08-13,1102.395
2004-08-16,1089.4050000000002
2004-08-17,1091.54
2004-08-18,1093.305
2004-08-19,1104.93
2004-08-20,1107.46
2004-08-23,1115.085
2004-08-24,1116.67
2004-08-25,1122.29
2004-08-26,1132.955
2004-08-27,1135.045
2004-08-30,1137.795
2004-08-31,1130.38
2004-09-01,1134.19
2004-09-02,1138.5349999999999
2004-09-03,1132.265
2004-09-06,1136.46
2004-09-07,1144.885
2004-09-08,1146.23
2004-09-09,1137.895
2004-09-10,1127.405
2004-09-13,1135.275
2004-09-14,1142.81
2004-09-15,1134.37
2004-09-16,1121.96
2004-09-17,1121.0900000000001
2004-09-21,1119.255
2004-09-22,1117.045
2004-09-24,1103.695
2004-09-27,1097.3899999999999
2004-09-28,1089.6149999999998
2004-09-29,1093.195
2004-09-30,1099.935
2004-10-01,1111.57
2004-10-04,1133.9099999999999
2004-10-05,1139.255
2004-10-06,1140.81
2004-10-07,1145.52
2004-10-08,1138.35
2004-10-12,1131.26
2004-10-13,1125.525
2004-10-14,1115.14
2004-10-15,1104.2350000000001
2004-10-18,1104.44
2004-10-19,1107.47
2004-10-20,1099.415
2004-10-21,1089.665
2004-10-22,1090.1599999999999
2004-10-25,1077.05
2004-10-26,1073.5149999999999
2004-10-27,1076.8049999999998
2004-10-28,1087.65
2004-10-29,1086.04
2004-11-01,1081.06
2004-11-02,1089.435
2004-11-04,1103.9450000000002
2004-11-05,1110.245
2004-11-08,1108.895
2004-11-09,1101.02
2004-11-10,1100.745
2004-11-11,1097.35
2004-11-12,1097.25
2004-11-15,1116.49
2004-11-16,1122.275
2004-11-17,1115.87
2004-11-18,1114.83
2004-11-19,1111.96
2004-11-22,1094.33
2004-11-24,1089.795
2004-11-25,1092.79
2004-11-26,1094.085
2004-11-29,1098.185
2004-11-30,1099.0749999999998
2004-12-01,1088.855
2004-12-02,1102.63
2004-12-03,1110.37
2004-12-06,1105.78
2004-12-07,1098.0300000000002
2004-12-08,1094.47
2004-12-09,1093.645
2004-12-10,1085.1399999999999
2004-12-13,1086.915
2004-12-14,1095.045
2004-12-15,1101.2849999999999
2004-12-16,1099.8449999999998
2004-12-17,1106.465
2004-12-20,1109.725
2004-12-21,1114.6100000000001
2004-12-22,1122.4450000000002
2004-12-24,1131.53
2004-12-27,1135.065
2004-12-28,1136.04
2004-12-29,1142.545
2004-12-30,1147.1750000000002
2005-01-04,1150.31
2005-01-05,1145.985
2005-01-06,1142.975
2005-01-07,1148.56
2005-01-11,1154.315
2005-01-12,1151.615
2005-01-13,1142.1399999999999
2005-01-14,1141.805
2005-01-17,1149.35
2005-01-18,1148.145
2005-01-19,1146.69
2005-01-20,1136.05
2005-01-21,1130.4650000000001
2005-01-24,1134.96
2005-01-25,1137.725
2005-01-26,1144.02
2005-01-27,1144.67
2005-01-28,1141.185
2005-01-31,1142.495
2005-02-01,1147.87
2005-02-02,1151.385
2005-02-03,1151.5
2005-02-04,1146.5
2005-02-07,1151.27
2005-02-08,1155.4850000000001
2005-02-09,1157.2849999999999
2005-02-10,1157.645
2005-02-14,1169.38
2005-02-15,1168.9650000000001
2005-02-16,1165.79
2005-02-17,1162.2
2005-02-18,1163.455
